id,name,x,y
201,GIRLS COMMON ROOM,340,57
202,CLASSROOM 101,490,57
203,STAIR CASE UP,458,44
204,STAIR CASE DOWN,490,44
205,TOILET,740,100
206,CLASSROOM 102,870,57
207,CLASSROOM 103,1010,57
208,COMPUTER GRAPHICS LAB,1025,150
209,SYSTEM SOFTWARE LAB,1025,210
210,ALGORITHM LAB,1025,255
211,DBMS LAB,1025,300
212,LIFT,860,280
213,FACULTY ROOM,648,355
214,DEPT COMPUTER SCIENCE,648,405
215,WASHROOM,648,468
216,PATHWAY,572,247
217,SLOPE UP,550,290
218,SLOPE DOWN,600,290
219,STAFFS LIFT,497,333
220,FACULTY,30,358
221,STAIRCASE UP LEFT,75,333
222,STAIRCASE DOWN LEFT,125,333
223,TOILET LEFT,178,333
224,DEPT CHEMISTRY,237,333
225,CHEMISTRY LAB,237,395
226,DEPT PHYSICS,395,333
227,PHYSICS LAB,395,395
228,COMPUTER CENTRE,870,358
229,CENTRAL COMPUTING LAB,1020,358
230,CORRIDOR TOP LEFT,410,100
231,CORRIDOR TOP RIGHT,800,100
232,CORRIDOR MAIN,536,420
