id,name,x,y
101,SEMINAR HALL,338,48
102,STAIRCASE UP,458,44
103,QPDS ROOM,360,111
104,CLASSROOM 004,615,41
105,CLASSROOM 005,758,41
106,CLASSROOM 006,938,41
107,CLASSROOM 007,952,181
108,LIFT,600,159
109,PATHWAY,536,247
110,FACULTY,30,336
111,STAIRCASE UP GF,75,333
112,XEROX CENTRE,126,333
113,GENTS TOILET,178,336
114,CLASSROOM 003,236,333
115,BOARD ROOM,306,333
116,OFFICE 2,373,333
117,STAFFS LIFT,438,330
118,SLOPE UP GF,469,289
119,LADIES WASHROOM,630,333
120,CLASSROOM 002,742,333
121,CLASSROOM 001,832,333
122,OFFICE 1,892,342
123,PRINCIPALS CABIN,982,333
124,CORRIDOR,536,396
125,MAIN STAGE,502,469
