id,name,lat,lng
1,Main Gate,12.87497,74.94035
2,Academic Block,12.87387,74.93944
3,Main Building,12.87412,74.93962
4,Nursing Block,12.87453,74.94027
5,Post Office,12.87407,74.94026
6,Butterfly Garden,12.87463,74.93963
7,Pharmacy Block,12.87436,74.93900
8,Architecture Block,12.87460,74.93854
9,College Ground,12.87570,74.93981
10,Mechanical Engineering Lab,12.87600,74.93919
11,Mechanical Block,12.87537,74.93922
12,Canteen,12.87510,74.93915
13,Temple,12.87495,74.93924
14,Library Block,12.87600,74.93865
15,Automobile Lab,12.87638,74.93854
16,Boys Hostel,12.87702,74.93906
17,SBI ATM,12.87503,74.94024
18,Office,12.87417,74.93922
19,Principal Cabin,12.87417,74.93915
20,Junction A,12.87490,74.93965
21,Junction B,12.87530,74.93950
22,Junction C,12.87560,74.93930
23,Junction D,12.87490,74.93920
24,Junction E,12.87450,74.93940
25,Junction F,12.87620,74.93880
