r1,r2,r3,location
-45,-60,-70,CAD LAB
-47,-58,-72,CAD LAB
-44,-62,-69,CAD LAB
-46,-59,-71,CAD LAB
-48,-61,-68,CAD LAB

-60,-45,-75,CSE LAB
-62,-47,-73,CSE LAB
-59,-44,-74,CSE LAB
-61,-46,-76,CSE LAB
-63,-48,-72,CSE LAB

-70,-65,-40,STAIR CASE UP
-72,-67,-42,STAIR CASE UP
-68,-63,-38,STAIR CASE UP
-71,-66,-41,STAIR CASE UP
-69,-64,-39,STAIR CASE UP

-75,-68,-45,STAIR CASE DOWN
-77,-70,-43,STAIR CASE DOWN
-73,-66,-47,STAIR CASE DOWN
-76,-69,-44,STAIR CASE DOWN
-74,-67,-46,STAIR CASE DOWN

-50,-70,-65,PLACEMENT OFFICE
-52,-72,-63,PLACEMENT OFFICE
-48,-68,-67,PLACEMENT OFFICE
-51,-71,-64,PLACEMENT OFFICE
-49,-69,-66,PLACEMENT OFFICE

-55,-75,-60,LIFT
-57,-77,-58,LIFT
-53,-73,-62,LIFT
-56,-76,-59,LIFT
-54,-74,-61,LIFT

-65,-50,-75,SLOPE UP
-67,-52,-77,SLOPE UP
-63,-48,-73,SLOPE UP
-66,-51,-76,SLOPE UP
-64,-49,-74,SLOPE UP

-80,-70,-60,SLOPE DOWN
-82,-72,-62,SLOPE DOWN
-78,-68,-58,SLOPE DOWN
-81,-71,-61,SLOPE DOWN
-79,-69,-59,SLOPE DOWN

-58,-58,-58,LADIES WASHROOM
-60,-60,-60,LADIES WASHROOM
-57,-57,-57,LADIES WASHROOM
-59,-59,-59,LADIES WASHROOM
-61,-61,-61,LADIES WASHROOM

-85,-55,-65,LAB LEFT
-87,-57,-63,LAB LEFT
-83,-53,-67,LAB LEFT
-86,-56,-64,LAB LEFT
-84,-54,-66,LAB LEFT

-40,-75,-80,LAB RIGHT
-42,-77,-82,LAB RIGHT
-38,-73,-78,LAB RIGHT
-41,-76,-81,LAB RIGHT
-39,-74,-79,LAB RIGHT

-68,-42,-78,STAIRCASE DOWN
-70,-44,-80,STAIRCASE DOWN
-66,-40,-76,STAIRCASE DOWN
-69,-43,-79,STAIRCASE DOWN
-67,-41,-77,STAIRCASE DOWN

-72,-46,-55,STAIRCASE UP
-74,-48,-57,STAIRCASE UP
-70,-44,-53,STAIRCASE UP
-73,-47,-56,STAIRCASE UP
-71,-45,-54,STAIRCASE UP

-90,-80,-50,FACULTY ROOM
-92,-82,-52,FACULTY ROOM
-88,-78,-48,FACULTY ROOM
-91,-81,-51,FACULTY ROOM
-89,-79,-49,FACULTY ROOM
