r1,r2,r3,location
-41,-61,-67,CLASSROOM 404
-40,-61,-67,CLASSROOM 404
-42,-63,-66,CLASSROOM 404
-44,-62,-67,CLASSROOM 404
-44,-62,-66,CLASSROOM 404
-46,-56,-72,CLASSROOM 405
-49,-59,-71,CLASSROOM 405
-45,-60,-74,CLASSROOM 405
-48,-58,-73,CLASSROOM 405
-48,-58,-72,CLASSROOM 405
-66,-46,-74,STAIR CASE UP
-65,-43,-73,STAIR CASE UP
-67,-43,-70,STAIR CASE UP
-67,-42,-70,STAIR CASE UP
-66,-46,-71,STAIR CASE UP
-74,-47,-68,STAIR CASE DOWN
-71,-50,-66,STAIR CASE DOWN
-70,-47,-64,STAIR CASE DOWN
-71,-47,-66,STAIR CASE DOWN
-74,-47,-68,STAIR CASE DOWN
-70,-66,-70,TOILET
-69,-65,-74,TOILET
-69,-67,-73,TOILET
-69,-63,-71,TOILET
-68,-67,-71,TOILET
-38,-78,-56,CLASSROOM 406
-38,-79,-57,CLASSROOM 406
-36,-80,-53,CLASSROOM 406
-36,-79,-55,CLASSROOM 406
-38,-79,-56,CLASSROOM 406
-37,-89,-62,CLASSROOM 407
-36,-89,-60,CLASSROOM 407
-36,-90,-63,CLASSROOM 407
-34,-87,-60,CLASSROOM 407
-33,-87,-60,CLASSROOM 407
-28,-90,-50,AIML LAB
-31,-89,-52,AIML LAB
-29,-89,-50,AIML LAB
-30,-88,-52,AIML LAB
-30,-88,-52,AIML LAB
-55,-71,-43,LIFT
-57,-74,-44,LIFT
-55,-74,-46,LIFT
-53,-70,-42,LIFT
-54,-71,-42,LIFT
-60,-60,-54,FACULTY ROOM
-60,-59,-55,FACULTY ROOM
-60,-57,-53,FACULTY ROOM
-63,-60,-54,FACULTY ROOM
-64,-58,-57,FACULTY ROOM
-63,-53,-62,DEPT AI AND ISE
-66,-51,-59,DEPT AI AND ISE
-63,-50,-58,DEPT AI AND ISE
-66,-52,-60,DEPT AI AND ISE
-65,-51,-59,DEPT AI AND ISE
-80,-68,-62,WASHROOM
-80,-72,-60,WASHROOM
-82,-68,-59,WASHROOM
-80,-70,-58,WASHROOM
-81,-70,-62,WASHROOM
-50,-53,-52,PATHWAY
-52,-51,-53,PATHWAY
-50,-54,-52,PATHWAY
-50,-51,-52,PATHWAY
-53,-50,-54,PATHWAY
-57,-46,-90,SLOPE UP
-60,-48,-90,SLOPE UP
-59,-49,-90,SLOPE UP
-57,-49,-91,SLOPE UP
-59,-49,-92,SLOPE UP
-52,-92,-44,SLOPE DOWN
-50,-88,-48,SLOPE DOWN
-52,-88,-47,SLOPE DOWN
-50,-89,-47,SLOPE DOWN
-53,-91,-44,SLOPE DOWN
-51,-79,-90,STAFFS LIFT
-49,-80,-89,STAFFS LIFT
-49,-78,-88,STAFFS LIFT
-49,-81,-86,STAFFS LIFT
-51,-80,-87,STAFFS LIFT
-91,-80,-48,SIT CYBER FORENSICS
-89,-79,-50,SIT CYBER FORENSICS
-89,-78,-48,SIT CYBER FORENSICS
-89,-81,-51,SIT CYBER FORENSICS
-88,-81,-50,SIT CYBER FORENSICS
-82,-54,-70,STAIRCASE UP LEFT
-78,-57,-68,STAIRCASE UP LEFT
-82,-55,-72,STAIRCASE UP LEFT
-81,-55,-69,STAIRCASE UP LEFT
-78,-56,-69,STAIRCASE UP LEFT
-77,-59,-71,STAIRCASE DOWN LEFT
-75,-60,-71,STAIRCASE DOWN LEFT
-77,-57,-70,STAIRCASE DOWN LEFT
-75,-59,-71,STAIRCASE DOWN LEFT
-77,-58,-73,STAIRCASE DOWN LEFT
-72,-64,-74,TOILET LEFT
-70,-65,-73,TOILET LEFT
-72,-64,-71,TOILET LEFT
-71,-63,-71,TOILET LEFT
-68,-66,-74,TOILET LEFT
-87,-60,-51,FACULTY DEPT CBS
-86,-58,-48,FACULTY DEPT CBS
-83,-59,-52,FACULTY DEPT CBS
-85,-61,-50,FACULTY DEPT CBS
-87,-62,-51,FACULTY DEPT CBS
-43,-64,-61,CLASSROOM 401
-46,-68,-61,CLASSROOM 401
-42,-64,-64,CLASSROOM 401
-42,-64,-63,CLASSROOM 401
-45,-66,-61,CLASSROOM 401
-50,-60,-58,CLASSROOM 402
-49,-60,-57,CLASSROOM 402
-49,-64,-56,CLASSROOM 402
-48,-64,-56,CLASSROOM 402
-46,-60,-56,CLASSROOM 402
-30,-90,-74,AUDITORIUM
-31,-90,-74,AUDITORIUM
-32,-88,-77,AUDITORIUM
-32,-90,-75,AUDITORIUM
-33,-90,-73,AUDITORIUM
-56,-57,-58,CORRIDOR TOP LEFT
-56,-54,-56,CORRIDOR TOP LEFT
-57,-55,-55,CORRIDOR TOP LEFT
-57,-57,-58,CORRIDOR TOP LEFT
-55,-58,-56,CORRIDOR TOP LEFT
-46,-47,-46,CORRIDOR TOP RIGHT
-47,-45,-45,CORRIDOR TOP RIGHT
-43,-44,-43,CORRIDOR TOP RIGHT
-44,-45,-47,CORRIDOR TOP RIGHT
-46,-45,-45,CORRIDOR TOP RIGHT
-52,-50,-50,CORRIDOR MAIN
-52,-50,-49,CORRIDOR MAIN
-49,-49,-49,CORRIDOR MAIN
-50,-51,-49,CORRIDOR MAIN
-49,-50,-48,CORRIDOR MAIN
