r1,r2,r3,location
-42,-62,-68,SEMINAR HALL
-44,-64,-66,SEMINAR HALL
-40,-60,-70,SEMINAR HALL
-43,-63,-67,SEMINAR HALL
-41,-61,-69,SEMINAR HALL

-66,-44,-72,STAIRCASE UP
-68,-46,-70,STAIRCASE UP
-64,-42,-74,STAIRCASE UP
-67,-45,-71,STAIRCASE UP
-65,-43,-73,STAIRCASE UP

-52,-68,-60,QPDS ROOM
-54,-70,-58,QPDS ROOM
-50,-66,-62,QPDS ROOM
-53,-69,-59,QPDS ROOM
-51,-67,-61,QPDS ROOM

-38,-78,-55,CLASSROOM 004
-40,-80,-53,CLASSROOM 004
-36,-76,-57,CLASSROOM 004
-39,-79,-54,CLASSROOM 004
-37,-77,-56,CLASSROOM 004

-48,-55,-82,CLASSROOM 005
-50,-57,-80,CLASSROOM 005
-46,-53,-84,CLASSROOM 005
-49,-56,-81,CLASSROOM 005
-47,-54,-83,CLASSROOM 005

-35,-88,-62,CLASSROOM 006
-37,-90,-60,CLASSROOM 006
-33,-86,-64,CLASSROOM 006
-36,-89,-61,CLASSROOM 006
-34,-87,-63,CLASSROOM 006

-43,-90,-50,CLASSROOM 007
-45,-92,-48,CLASSROOM 007
-41,-88,-52,CLASSROOM 007
-44,-91,-49,CLASSROOM 007
-42,-89,-51,CLASSROOM 007

-56,-72,-44,LIFT
-58,-74,-42,LIFT
-54,-70,-46,LIFT
-57,-73,-43,LIFT
-55,-71,-45,LIFT

-62,-58,-55,PATHWAY
-64,-60,-53,PATHWAY
-60,-56,-57,PATHWAY
-63,-59,-54,PATHWAY
-61,-57,-56,PATHWAY

-88,-78,-48,FACULTY
-90,-80,-46,FACULTY
-86,-76,-50,FACULTY
-89,-79,-47,FACULTY
-87,-77,-49,FACULTY

-80,-55,-70,STAIRCASE UP GF
-82,-57,-68,STAIRCASE UP GF
-78,-53,-72,STAIRCASE UP GF
-81,-56,-69,STAIRCASE UP GF
-79,-54,-71,STAIRCASE UP GF

-74,-60,-66,XEROX CENTRE
-76,-62,-64,XEROX CENTRE
-72,-58,-68,XEROX CENTRE
-75,-61,-65,XEROX CENTRE
-73,-59,-67,XEROX CENTRE

-70,-64,-72,GENTS TOILET
-72,-66,-70,GENTS TOILET
-68,-62,-74,GENTS TOILET
-71,-65,-71,GENTS TOILET
-69,-63,-73,GENTS TOILET

-66,-68,-78,CLASSROOM 003
-68,-70,-76,CLASSROOM 003
-64,-66,-80,CLASSROOM 003
-67,-69,-77,CLASSROOM 003
-65,-67,-79,CLASSROOM 003

-60,-72,-80,BOARD ROOM
-62,-74,-78,BOARD ROOM
-58,-70,-82,BOARD ROOM
-61,-73,-79,BOARD ROOM
-59,-71,-81,BOARD ROOM

-55,-76,-84,OFFICE 2
-57,-78,-82,OFFICE 2
-53,-74,-86,OFFICE 2
-56,-77,-83,OFFICE 2
-54,-75,-85,OFFICE 2

-50,-80,-88,STAFFS LIFT
-52,-82,-86,STAFFS LIFT
-48,-78,-90,STAFFS LIFT
-51,-81,-87,STAFFS LIFT
-49,-79,-89,STAFFS LIFT

-58,-48,-90,SLOPE UP GF
-60,-50,-88,SLOPE UP GF
-56,-46,-92,SLOPE UP GF
-59,-49,-89,SLOPE UP GF
-57,-47,-91,SLOPE UP GF

-44,-80,-58,LADIES WASHROOM
-46,-82,-56,LADIES WASHROOM
-42,-78,-60,LADIES WASHROOM
-45,-81,-57,LADIES WASHROOM
-43,-79,-59,LADIES WASHROOM

-38,-85,-65,CLASSROOM 002
-40,-87,-63,CLASSROOM 002
-36,-83,-67,CLASSROOM 002
-39,-86,-64,CLASSROOM 002
-37,-84,-66,CLASSROOM 002

-33,-90,-70,CLASSROOM 001
-35,-92,-68,CLASSROOM 001
-31,-88,-72,CLASSROOM 001
-34,-91,-69,CLASSROOM 001
-32,-89,-71,CLASSROOM 001

-40,-88,-75,OFFICE 1
-42,-90,-73,OFFICE 1
-38,-86,-77,OFFICE 1
-41,-89,-74,OFFICE 1
-39,-87,-76,OFFICE 1

-30,-92,-80,PRINCIPALS CABIN
-32,-94,-78,PRINCIPALS CABIN
-28,-90,-82,PRINCIPALS CABIN
-31,-93,-79,PRINCIPALS CABIN
-29,-91,-81,PRINCIPALS CABIN

-65,-65,-65,CORRIDOR
-67,-67,-67,CORRIDOR
-63,-63,-63,CORRIDOR
-66,-66,-66,CORRIDOR
-64,-64,-64,CORRIDOR

-72,-55,-88,MAIN STAGE
-74,-57,-86,MAIN STAGE
-70,-53,-90,MAIN STAGE
-73,-56,-87,MAIN STAGE
-71,-54,-89,MAIN STAGE
